127.0.0.1 - - [28/Jun/2018:21:41:06 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:12 +0900] "GET /ChangeSeat/main.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:13 +0900] "GET /ChangeSeat/templateStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:13 +0900] "GET /ChangeSeat/changeIndexStyle.css HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:13 +0900] "GET /ChangeSeat/NanumBarunGothicLight.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:13 +0900] "GET /ChangeSeat/yangfont05.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:19 +0900] "GET /ChangeSeat/login.jsp HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:19 +0900] "GET /ChangeSeat/loginStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:19 +0900] "GET /ChangeSeat/assets/images/icons.svg HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:24 +0900] "POST /ChangeSeat/signIn.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:24 +0900] "GET /ChangeSeat/main.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:31 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:31 +0900] "GET /ChangeSeat/changeStyle.css HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:35 +0900] "GET /ChangeSeat/info.jsp HTTP/1.1" 200 11437
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:41:35 +0900] "GET /ChangeSeat/infoStyle.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:42:48 +0900] "POST /ChangeSeat/update.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:42:48 +0900] "GET /ChangeSeat/main.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:43:16 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8488
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:48:31 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8709
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:50:08 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:52:41 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8720
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:53:17 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8718
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:53:44 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8718
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:55:53 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:55:53 +0900] "GET /ChangeSeat/changeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:56:30 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [28/Jun/2018:21:59:40 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [28/Jun/2018:22:00:47 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8846
0:0:0:0:0:0:0:1 - - [28/Jun/2018:22:00:47 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8846
0:0:0:0:0:0:0:1 - - [28/Jun/2018:22:01:14 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8846
0:0:0:0:0:0:0:1 - - [28/Jun/2018:22:03:07 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [28/Jun/2018:22:03:14 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [28/Jun/2018:22:03:35 +0900] "GET /ChangeSeat/change.jsp HTTP/1.1" 200 8844
